cycle,domain,weighted_variable_coverage,weighted_domain_available,n
2007-2008,demographic,0.9803801855453474,1.0,5987
2007-2008,metabolic,0.9638418558434124,0.9999406958814675,5987
2007-2008,cardiovascular,0.9589656138594415,0.9976494924448613,5987
2007-2008,renal,0.9568615254254502,0.9989231697704538,5987
2009-2010,demographic,0.9798363160634721,1.0,6346
2009-2010,metabolic,0.9693428652491907,1.0,6346
2009-2010,cardiovascular,0.9648270565549671,0.9985827140017145,6346
2009-2010,renal,0.9643524371101153,0.9994753744327537,6346
2011-2012,demographic,0.9839301184366543,1.0,5602
2011-2012,metabolic,0.9696729350449785,1.0,5602
2011-2012,cardiovascular,0.9630037297686137,0.9986938667101404,5602
2011-2012,renal,0.962273302204789,0.9996557420293358,5602
2013-2014,demographic,0.9837299327626313,1.0,5912
2013-2014,metabolic,0.9704295567613822,1.0,5912
2013-2014,cardiovascular,0.9644076743837403,0.9987682858944409,5912
2013-2014,renal,0.9688908179731474,0.9996351988659613,5912
2015-2016,demographic,0.9798440394767712,1.0,5710
2015-2016,metabolic,0.9682618746365038,1.0,5710
2015-2016,cardiovascular,0.9741295180949708,0.9994761391081692,5710
2015-2016,renal,0.9686561841559447,0.999815719933116,5710
