mode,bin,n,weighted_predicted,weighted_observed,weight_sum
Uncalibrated,1,571,0.0015094243241002584,0.0,26099764.135006
Uncalibrated,2,571,0.00219540646556781,0.0015790675301544685,26189114.327463
Uncalibrated,3,571,0.0029677866544374327,0.0021433743752683632,26443262.764072
Uncalibrated,4,571,0.004081506659161851,0.0054698724011186745,25850262.762086
Uncalibrated,5,571,0.005851799277093901,0.010512094035174707,25229822.302249998
Uncalibrated,6,571,0.008838643596711675,0.0026054493225663284,25738017.920436
Uncalibrated,7,571,0.01446686122199587,0.020091056722546092,23515051.927947
Uncalibrated,8,571,0.02636994686926523,0.02200520616825389,22600315.884177998
Uncalibrated,9,571,0.05621261688189552,0.05270435819966459,20807458.219802
Uncalibrated,10,571,0.21421154430374595,0.1798259613190452,16642230.739110999
Validation-only calibrated,1,571,0.0022923728094517326,0.0,26099764.135006
Validation-only calibrated,2,571,0.0032616281303382267,0.0015790675301544685,26189114.327463
Validation-only calibrated,3,571,0.004329501309391191,0.0021424630965624857,26454510.184067
Validation-only calibrated,4,571,0.0058399365605305,0.005472253372351514,25839015.342091
Validation-only calibrated,5,571,0.008190428464869214,0.010510608055407392,25233389.270524
Validation-only calibrated,6,571,0.012058492253277193,0.0026058104553952502,25734450.952162
Validation-only calibrated,7,571,0.019132430575247498,0.020091056722546092,23515051.927947
Validation-only calibrated,8,571,0.03353276778544041,0.02200520616825389,22600315.884177998
Validation-only calibrated,9,571,0.06780374472456327,0.05270435819966459,20807458.219802
Validation-only calibrated,10,571,0.23114770578919652,0.1798259613190452,16642230.739110999
